YMD,평균기온,최고기온,최저기온,강수량,신적설,평균풍속,평균습도,운량,일조시간,날씨
2019-01-01,0,2.4,-2.3,0,0,1.3,65,7.9,1.4,구름많음/눈/소낙눈
2019-01-02,-0.1,4.2,-2.8,0,0,1.7,62,3.9,6.8,구름조금
2019-01-03,0.5,6.5,-3.5,0,0,1.5,53,0,9.2,맑음
2019-01-04,0.6,3.9,-4.1,0,0,0.7,56,6.6,1.5,구름많음/안개
2019-01-05,2,6.9,-2.1,0,0,1,54,2.9,7.9,구름조금/안개/진눈개비
2019-01-06,0.6,6.3,-2.8,0,0,1.5,44,3.6,9,구름조금
2019-01-07,1.2,6.3,-3.2,0,0,1.4,64,3.9,8.3,구름조금/안개
2019-01-08,0.7,5.1,-1.3,0,0,2.1,61,6.2,5.6,구름많음/안개
2019-01-09,-0.9,3.8,-5.1,0,0,1.5,33,7.9,4.3,구름많음
2019-01-10,2,6.8,-0.6,0,0,1,57,6.8,4.7,구름많음
2019-01-11,4.2,9.3,-1.1,0.4,0,1.6,61,6.5,7.1,구름많음/비/안개
2019-01-12,4.6,9.7,1.8,3.5,0,1.4,78,4.6,7.1,구름조금/비/안개
2019-01-13,3.3,8.8,-0.1,0,0,0.9,66,0,8.8,맑음/안개
2019-01-14,2.3,9.3,-2.2,0,0,0.8,72,3,7.2,구름조금/안개
2019-01-15,2,7.2,-1.9,0,0,1.6,71,8.2,5.2,흐림/비/안개
2019-01-16,-2.1,2.4,-5.9,0,0,2.2,51,2.2,9.2,구름조금/소낙눈
2019-01-17,1.1,6.6,-2.9,0,0,1.1,64,4.6,7.4,구름조금/안개
2019-01-18,2.4,9.2,-3,0,0,0.8,71,1.4,8.9,맑음/안개
2019-01-19,3.6,8.5,-0.8,1.9,0,0.9,71,8,3.8,흐림/비/안개
2019-01-20,2.2,4.9,-0.7,0.3,0,2.2,64,3,8.3,구름조금/비/안개
2019-01-21,2.1,8,-2.1,0,0,1.3,60,2,6.9,구름조금
2019-01-22,3.4,10,-2.2,0,0,1.1,64,1.2,9,맑음/안개
2019-01-23,4.4,10,0.6,0,0,1,62,1.4,8.3,맑음/안개
2019-01-24,2.8,9.9,-1.7,0,0,1.3,37,0,9.4,맑음
2019-01-25,0.9,5.8,-1.9,0,0,1.8,55,6.5,5.4,구름많음
2019-01-26,-0.5,3.8,-3.1,0,0,1.9,46,1.4,8.9,맑음
2019-01-27,0.9,7.7,-5.3,0,0,1,61,1.2,9.4,맑음
2019-01-28,3.4,8.5,-0.1,0,0,1.7,57,4.4,7.5,구름조금/비/안개
2019-01-29,2.1,9.7,-3.3,0,0,1.4,42,0,9.4,맑음
2019-01-30,4.1,10.5,-0.5,0,0,1.1,46,8.8,4.2,흐림/비
2019-01-31,0.4,4.6,-1.7,10.3,3.8,1.9,82,7,2.6,구름많음/눈/비/진눈개비
2019-02-01,-0.2,4.8,-3.9,0,0,1.3,68,4.5,5.8,구름조금/소낙눈
2019-02-02,3.8,9.6,-2.9,0,0,0.9,72,5.8,5,구름많음/비/안개
2019-02-03,7.3,11.1,5.4,17.3,0,1.9,98,10,0,흐림/비/안개
2019-02-04,4,8.3,0,0,0,2.8,38,3.4,8.4,구름조금/안개
2019-02-05,5.4,12.6,-1.4,0,0,0.8,46,3.5,8.7,구름조금
2019-02-06,7.3,13.6,1.6,0,0,1.3,62,7.2,4,구름많음
2019-02-07,2.5,6.6,-3.6,0,0,2,59,7.4,4.9,구름많음/비/안개
2019-02-08,-0.9,4.7,-4.4,0,0,2.2,35,8.1,6.7,흐림
2019-02-09,-1.2,2,-2.7,0,0,2.2,47,6.2,8.7,구름많음
2019-02-10,-1.2,3.8,-4.9,0,0,2.1,36,8.6,1.3,흐림
2019-02-11,-0.1,3.9,-2.1,0,0,2.2,51,4.2,9,구름조금
2019-02-12,1.5,8.1,-4.3,0,0,1.6,56,3.9,7.7,구름조금/안개
2019-02-13,1.9,6.8,-1.9,0,0,2.5,46,4.5,9.3,구름조금/안개
2019-02-14,2.3,9.2,-1.5,0,0,1.7,36,5.9,7.4,구름많음
2019-02-15,2.5,6.3,-0.2,0,0,0.9,57,9.6,0.7,흐림/안개
2019-02-16,0.3,2.9,-1.6,0,0,2.1,60,7.8,5.6,구름많음/소낙눈/안개
2019-02-17,1.1,6.7,-2.8,0,0,1.7,48,1.8,10,맑음
2019-02-18,2.6,6.3,-1.6,0.6,0,1.1,51,9.5,0,흐림/비
2019-02-19,3.9,7,0.9,18.5,0,1.3,96,7.5,0,구름많음/비/안개
2019-02-20,3.4,8.2,0.5,0,0,1.5,73,6,6.6,구름많음/안개
2019-02-21,4.2,10.9,-1.2,0,0,1.7,63,3.1,8.7,구름조금/안개
2019-02-22,5.4,11.4,0.9,0,0,0.9,61,6.2,2.5,구름많음/안개
2019-02-23,7.2,15.6,0.2,0,0,1,56,5.1,9.4,구름많음/안개
2019-02-24,8,15.4,1.7,0,0,1.1,61,1.4,10.2,맑음/안개
2019-02-25,6.6,13.9,1.5,0,0,1.1,57,3.1,5.1,구름조금/안개
2019-02-26,6.8,13.8,0,0,0,1.3,44,3.1,9.5,구름조금/안개
2019-02-27,8,13.3,4.6,0.6,0,1.1,74,9.8,3.1,흐림/비/안개/진눈개비
2019-02-28,8.1,14.4,4.1,0,0,1.5,59,5.9,7.3,구름많음/비/안개
2019-03-01,6.7,14.3,1,0,0,1.4,56,3.6,9.1,구름조금/안개
2019-03-02,9.6,17.1,2.1,0,0,1.4,52,7,6.9,구름많음/안개
2019-03-03,11.2,14.4,7.9,0,0,0.9,55,9.8,0.9,흐림/비/안개
2019-03-04,9.3,15,6.1,0,0,1.6,55,3.9,7.8,구름조금/안개
2019-03-05,9,14.2,2.6,0,0,0.9,61,5.1,1.8,구름많음/안개
2019-03-06,10,15.7,5.7,0,0,1.1,62,6.5,5.8,구름많음/비/안개
2019-03-07,6.5,12.2,3.2,0,0,1.5,72,1.1,9.4,맑음/안개
2019-03-08,7,16.6,-0.1,0,0,1.3,58,0,10.7,맑음/안개
2019-03-09,9.2,17.2,0.9,0,0,1.3,58,5.6,5.9,구름많음/비
2019-03-10,8.3,11.2,5.4,9.9,0,3.3,93,7.4,0.2,구름많음/비/안개
2019-03-11,6.1,10.9,2.4,0.9,0,1.5,91,8.2,2.1,흐림/비/안개
2019-03-12,5.9,12.4,1.5,0.1,0,2.2,76,6.6,2.5,구름많음/비/안개
2019-03-13,5,10,0.5,0,0,1.7,41,0.8,10.7,맑음
2019-03-14,6.9,14.1,0,0,0,1.4,50,1,10.8,맑음
2019-03-15,7.5,13.3,3.9,0.9,0,3,70,7.9,4.5,구름많음/비/안개/진눈개비/천둥번개
2019-03-16,7.3,13.9,3.8,0,0,2,62,3,9.6,구름조금/비
2019-03-17,8.1,14.3,3.1,0,0,1.3,49,2,10.9,구름조금/안개
2019-03-18,8.7,14.9,1.5,0,0,1.4,46,6.2,5,구름많음
2019-03-19,11.1,19.4,3.4,0,0,0.9,62,1.2,10.4,맑음/안개
2019-03-20,12.5,16.7,7.7,20.6,0,2.5,80,9.6,0,흐림/비/안개
2019-03-21,8.1,15.4,4.1,0,0,2.5,87,10,0.4,흐림/비/안개/이슬비
2019-03-22,5.1,10.3,2.6,0,0,2.2,56,5.5,8.6,구름많음
2019-03-23,4.8,11.1,1.2,0.1,0,2.3,51,3.5,8.9,구름조금/비
2019-03-24,5.3,12.5,-0.6,0,0,1.4,49,0.2,11.2,맑음
2019-03-25,7.4,14.4,1.3,0,0,1.4,64,5,5.2,구름많음/안개
2019-03-26,12.1,20.6,5,0,0,1.4,59,2.8,7.4,구름조금/안개
2019-03-27,14,19.6,7.7,0,0,3.7,62,5,9.8,구름많음/안개
2019-03-28,12.9,20.7,8.7,0,0,1.2,57,6.9,7.8,구름많음/안개
2019-03-29,12.2,20,5.9,0,0,1.1,43,4.5,9.1,구름조금
2019-03-30,7.5,13,4,1.4,0,2.1,67,6.5,7.2,구름많음/비/안개
2019-03-31,5.9,9.7,3.4,0,0,2.3,39,2.9,11.4,구름조금
2019-04-01,7.5,12.8,2.3,0,0,1.7,50,1.6,11.2,맑음
2019-04-02,8.2,14.3,3.3,0,0,1.6,41,0.6,11.6,맑음/안개
2019-04-03,7.7,15.4,2,0,0,1.1,44,0,11.6,맑음
2019-04-04,9.6,19.2,0.9,0,0,1.5,48,2.9,11.1,구름조금/안개
2019-04-05,11.8,19.6,7.1,0,0,1.8,54,4.1,6,구름조금/안개
2019-04-06,13.4,22.3,4.1,0,0,1.8,44,0.5,11.1,맑음/안개
2019-04-07,12.6,14.5,11.5,8.9,0,0.9,95,8,0,흐림/비/안개/천둥번개
2019-04-08,13.6,20.4,7.6,0,0,1,54,4.8,9.8,구름조금/안개
2019-04-09,10.7,17.2,7.5,36.2,0,2.6,72,9.4,3.2,흐림/비
2019-04-10,7.9,10,6.2,2.5,0,1.9,93,9.8,0,흐림/비/안개/이슬비
2019-04-11,10.1,15.3,5.5,0,0,1.2,68,7.9,3.2,구름많음/안개
2019-04-12,11.5,18.1,5.6,0,0,1.3,53,2,11.2,구름조금/안개
2019-04-13,12.4,19.8,6.1,0,0,1.5,45,7.2,6,구름많음
2019-04-14,10.9,14.6,7.5,0.5,0,1.1,69,6.6,3.1,구름많음/비
2019-04-15,11.9,20.7,4.4,0,0,1.1,43,0.4,12,맑음
2019-04-16,15.2,23.9,6,0,0,1.3,35,6.1,8,구름많음
2019-04-17,15.7,20.9,12.4,0,0,1.6,61,6,3.1,구름많음/비
2019-04-18,16.3,23.5,9.4,0,0,1.8,68,2.2,11.8,구름조금/안개
2019-04-19,15.9,21.1,14,0,0,2.3,78,10,1.2,흐림/안개
2019-04-20,17.1,24.6,11.6,0,0,1.3,68,3.9,9.6,구름조금/안개
2019-04-21,17.8,23.2,12.4,0,0,1,70,7.4,3.9,구름많음/안개
2019-04-22,20.3,27.9,13.4,0,0,1.6,64,3.9,10.2,구름조금
2019-04-23,17.1,19.7,15.8,1.4,0,1.3,83,9.2,0,흐림/비
2019-04-24,18,20.9,16.1,0,0,1.1,93,9.4,0,흐림/안개
2019-04-25,14.8,19,11.3,3.6,0,1.5,96,9.8,0,흐림/비/안개
2019-04-26,9.5,11.3,8.1,0.4,0,1.1,91,9.9,0,흐림/비
2019-04-27,13,19.9,7.3,0,0,2,69,6.4,8.7,구름많음/안개
2019-04-28,13.4,20,10.1,1.8,0,1.3,64,7.4,4.5,구름많음/비
2019-04-29,12,13.3,10.5,29.1,0,2.3,90,9,0,흐림/비/안개
2019-04-30,15,20.4,11.5,0.3,0,1.3,92,7.5,1.9,구름많음/안개/이슬비
2019-05-01,14.4,21.5,10.2,0,0,1.2,76,4.8,9.9,구름조금/안개
2019-05-02,15.4,24.1,8.1,0,0,1.4,56,0,12.6,맑음/안개
2019-05-03,18,28.9,8.5,0,0,1,46,0,12.7,맑음
2019-05-04,19.6,28.2,10.7,0,0,1,44,4.2,11.2,구름조금
2019-05-05,19.6,28.3,12.4,0,0,1.7,46,3.4,10.7,구름조금
2019-05-06,14,20,9.6,0,0,1.9,49,1.1,11.4,맑음/안개
2019-05-07,14.5,22,6.8,0,0,1.2,36,0,13,맑음
2019-05-08,15.3,22.3,7.4,0,0,1,37,6.9,7.6,구름많음
2019-05-09,17.3,25.3,10.8,0,0,1.3,32,4.1,10.3,구름조금
2019-05-10,18.6,27.9,10.3,0,0,1.3,35,4.8,11.3,구름조금
2019-05-11,19.6,28.2,11.8,0,0,1,41,2.6,12.4,구름조금
2019-05-12,21,29.2,14.5,0,0,1.5,45,3.8,11.3,구름조금
2019-05-13,20.4,27.9,13.8,0,0,1.3,52,6.4,8.8,구름많음/비
2019-05-14,22.3,29,16.2,0,0,1.2,65,6,9.8,구름많음/비/안개
2019-05-15,23.2,30.3,17.3,0,0,1.6,60,6.8,9.9,구름많음/안개
2019-05-16,23.3,30.7,17.6,0,0,1.8,51,4.9,12.5,구름조금/안개
2019-05-17,21.2,28.5,16.7,9.2,0,1.9,68,7.2,6.2,구름많음/비
2019-05-18,18.7,20.5,15.9,40.1,0,4,89,9.2,0.4,흐림/비
2019-05-19,20.9,22.7,19.4,0,0,2,87,9.4,0,흐림/비
2019-05-20,16.3,20.9,12.5,1.6,0,2.1,64,4.5,7,구름조금/비
2019-05-21,17.1,24.7,9.5,0,0,1.6,55,0,13.1,맑음
2019-05-22,20.2,28.5,12.4,0,0,2.4,54,0,13.1,맑음/안개
2019-05-23,22.2,30.5,15.2,0,0,1.7,62,0.5,12.6,맑음/안개
2019-05-24,23.6,29.9,17,0,0,2.3,57,1.9,12,맑음/안개
