YMD,평균기온,최고기온,최저기온,강수량,신적설,평균풍속,평균습도,운량,일조시간,날씨
2019-01-01,-0.6,3.4,-3,0,0,3.8,49,3.6,5.1,구름조금
2019-01-02,-0.5,4.2,-4.2,0,0,2.7,39,0.5,8.9,맑음
2019-01-03,0,6.1,-3.6,0,0,2.2,30,0,9,맑음
2019-01-04,0.9,7.2,-6.8,0,0,1.8,38,2.1,6.9,구름조금
2019-01-05,2.4,7.5,-3.8,0,0,2,38,2.1,8,구름조금/안개
2019-01-06,0.6,7.3,-5,0,0,1.4,30,3.2,7.6,구름조금
2019-01-07,1.2,6.1,-5.6,0,0,2.3,38,3.5,8.5,구름조금/안개
2019-01-08,1.2,5.1,-2,0,0,3.6,38,2.8,8.7,구름조금/안개
2019-01-09,-1.3,4.3,-5.6,0,0,1.6,34,4.9,7.4,구름조금
2019-01-10,1.7,5.7,-2.8,0,0,3.2,42,4,5.8,구름조금
2019-01-11,3,8.3,-3.3,0,0,1.3,55,4,7.4,구름조금/안개
2019-01-12,3.1,6,-0.9,3.5,0,0.7,88,8.2,0,흐림/비/안개
2019-01-13,1.8,9.4,-2.9,0,0,0.7,79,3.8,6.8,구름조금/안개
2019-01-14,2,9.2,-3.9,0,0,0.9,63,3.8,7.9,구름조금/안개
2019-01-15,2.6,7.7,-2.5,0,0,3.1,52,5.8,7.4,구름많음/비/안개
2019-01-16,-2,2.6,-5.5,0,0,3.8,35,1.6,9.1,맑음
2019-01-17,1.5,5.7,-2.7,0,0,3.4,47,5.2,4.6,구름많음
2019-01-18,2.5,8.9,-2.9,0,0,1.6,46,1.6,8.9,맑음/안개
2019-01-19,4.5,10.2,-1.3,0,0,0.9,46,8.4,4.3,흐림/비/안개
2019-01-20,3.4,6.9,-1.4,0.5,0,4.3,39,2.5,8.7,구름조금/비/안개
2019-01-21,1.9,8.2,-3.4,0,0,3.4,39,0,9.2,맑음
2019-01-22,3.9,9.7,-2.4,0,0,1.5,46,0,8.9,맑음/안개
2019-01-23,4.2,11.1,-3,0,0,2.2,41,0,8.6,맑음/안개
2019-01-24,2.8,9.7,-3.3,0,0,1.6,29,0,9.4,맑음
2019-01-25,1.1,6.7,-3.2,0,0,2.8,36,3.8,7,구름조금
2019-01-26,-0.3,4.6,-3.5,0,0,3.3,25,0,9.4,맑음
2019-01-27,0.7,8,-7.2,0,0,1.6,35,0.6,9.5,맑음
2019-01-28,3,8.7,-1.9,0,0,2.7,36,2.9,7.4,구름조금
2019-01-29,1.6,9.2,-5.4,0,0,1,40,1.2,9.1,맑음
2019-01-30,5.2,12.5,-2,0,0,1.9,34,5.2,8.5,구름많음/안개
2019-01-31,1.4,6.8,-2.3,5.5,0,3,66,7.6,0.9,구름많음/눈/비/안개/진눈개비
2019-02-01,0,4.9,-4.4,0,0,3.7,45,0.8,9.5,맑음
2019-02-02,3,8.8,-3.3,0,0,1.7,51,2.4,9.4,구름조금/안개
2019-02-03,5,8.5,1.7,6,0,1.5,86,9.4,0.1,흐림/비/안개
2019-02-04,4.1,7.9,0.2,0,0,4,29,2,9.2,구름조금/안개
2019-02-05,3.3,11.2,-4.2,0,0,0.8,41,4.1,9,구름조금/안개
2019-02-06,6.6,15,-1,0,0,1,40,5,7.9,구름많음/안개
2019-02-07,3.9,8.7,-1.7,0,0,3.2,41,7,3.8,구름많음/안개
2019-02-08,-0.1,5.3,-4,0,0,2,27,6,7.8,구름많음
2019-02-09,0.1,3,-1.5,0,0,3.5,23,5.5,8.8,구름많음
2019-02-10,1,4.5,-4.5,0,0,1.8,29,7.8,2.6,구름많음
2019-02-11,0.6,4.7,-2.9,0,0,3.7,28,1.1,10,맑음
2019-02-12,1.5,6.5,-4.7,0,0,1.4,37,3.8,9.2,구름조금/안개
2019-02-13,2.6,6.2,-1.2,0,0,3.2,28,3.2,9.6,구름조금/안개
2019-02-14,2.1,6.5,-1.3,0,0,2.1,52,7.4,5.4,구름많음
2019-02-15,4.1,9.9,0.7,0,0,2.4,54,8.4,3.9,흐림/안개
2019-02-16,0.9,3.4,-1.4,0,0,3.6,46,5.6,7.4,구름많음/눈/안개
2019-02-17,1.8,7.6,-3.2,0,0,3.4,32,1.4,10.4,맑음/안개
2019-02-18,4.9,9.2,-1.8,0,0,1.4,27,9,3.7,흐림/비
2019-02-19,3.6,6.3,1.6,19.5,0,1.7,87,7.9,0,구름많음/비/안개
2019-02-20,3.8,7.4,1.3,0,0,3,57,5.1,5.3,구름많음/안개
2019-02-21,3.7,10.2,-2.4,0,0,0.8,60,2.5,9.3,구름조금/안개
2019-02-22,6,12.4,-0.3,0,0,1.1,54,7.4,5.1,구름많음/안개
2019-02-23,5.6,12.6,-0.7,0,0,2.1,65,3.6,7.2,구름조금/안개
2019-02-24,6.9,15.7,-1.2,0,0,1.5,56,1.1,10.3,맑음/안개
2019-02-25,9.2,15.2,3.6,0,0,1.5,49,2.8,9,구름조금/안개
2019-02-26,8.1,14.5,1.2,0,0,1.6,52,3.2,10.1,구름조금/안개
2019-02-27,9.1,13.3,6.3,0.2,0,1.5,68,9.6,1.7,흐림/비
2019-02-28,9,15.4,3.9,0.5,0,1.3,61,5.6,8.2,구름많음/비/안개
2019-03-01,8.4,15.3,2.2,0,0,1.8,43,0.9,9.9,맑음/안개
2019-03-02,8,15,0.4,0,0,1.6,58,5.6,8.1,구름많음/안개
2019-03-03,10,15.2,4.4,0,0,2,53,8.9,4.5,흐림/안개
2019-03-04,10.9,16.9,5.9,0,0,1.5,50,3.9,9,구름조금/비
2019-03-05,10.1,16.2,2.3,0,0,1.2,53,4.5,5,구름조금/안개
2019-03-06,11.2,14.8,8.8,0,0,1.5,50,8,3.8,흐림/비/안개
2019-03-07,8.7,12.5,5.3,0.2,0,2.3,56,4.8,4.7,구름조금/비/안개
2019-03-08,8.5,16.2,0.5,0,0,1,53,0,10.4,맑음/안개
2019-03-09,10.9,18.1,1.9,0,0,1.2,46,6.5,9.3,구름많음/안개
2019-03-10,8.5,11.9,6.3,7.5,0,1.7,76,8.8,0,흐림/비
2019-03-11,8.2,14.4,2.1,0.5,0,2,69,6.1,5.7,구름많음/비/안개
2019-03-12,8.3,16,1.7,0.5,0,4,56,4,8,구름조금/비/안개
2019-03-13,5.2,10,1,0,0,5,30,1.6,9.2,맑음
2019-03-14,6.8,13.2,-1.5,0,0,1.5,30,2.5,10,구름조금
2019-03-15,6.8,13.3,4,1,0,2.7,52,8,5.2,흐림/비
2019-03-16,7.6,13.2,3,0,0,2.4,48,1.9,10.6,맑음
2019-03-17,8.5,14.1,4.3,0,0,2.3,43,1.5,11.3,맑음
2019-03-18,9,16.9,0.6,0,0,1.4,50,7.5,7.8,구름많음/안개
2019-03-19,13.5,21.2,4.3,0,0,1.6,44,1.6,10.4,맑음/안개
2019-03-20,12.6,18.1,7,6,0,1.6,61,8.9,0,흐림/비/안개
2019-03-21,13.5,18.2,6.4,0,0,4.6,62,7.6,7,구름많음/비/안개
2019-03-22,7.2,12.9,3.7,0,0,3.5,40,5.2,9.3,구름많음/안개
2019-03-23,6,13.1,3.1,0.5,0,3.7,43,3.9,8.2,구름조금/비
2019-03-24,6.6,13.7,-0.3,0,0,2.4,39,0.2,11.7,맑음
2019-03-25,9.3,15.6,1.1,0,0,1.8,42,5.2,9.4,구름많음/안개
2019-03-26,11.7,19.9,3.6,0,0,2.3,44,0,10.8,맑음/안개
2019-03-27,15,24.2,4.6,0,0,2.2,35,3.8,9.2,구름조금
2019-03-28,12.1,16.2,8.3,0,0,3,62,6.8,8.6,구름많음/안개
2019-03-29,12.5,19.4,6.3,0,0,1.9,60,7,6.1,구름많음/안개
2019-03-30,9.2,14.3,5.1,4.5,0,3.6,60,6.9,6.6,구름많음/비/안개
2019-03-31,6.7,11.1,4.5,0,0,4.4,40,5,6,구름많음
2019-04-01,7.1,11.8,2.4,0,0,3.5,35,2.1,8.8,구름조금
