YMD,평균기온,최고기온,최저기온,강수량,신적설,평균풍속,평균습도,운량,일조시간,날씨
2019-01-01,-2.7,0.7,-6.1,0.1,0,1.3,70,7.1,2.1,구름많음/소낙눈/안개
2019-01-02,-3.3,2.9,-8.4,0,0,1.2,64,0,8.7,맑음
2019-01-03,-2.7,4.3,-8.5,0,0,0.8,56,0,8.8,맑음/안개
2019-01-04,-1.6,4.2,-8.1,0,0,0.8,62,5.4,3.8,구름많음/안개
2019-01-05,-0.7,4.5,-4.8,0,0,1.1,53,3.8,7.8,구름조금/안개
2019-01-06,-1.9,5.4,-7.1,0,0,1,53,2.6,7.8,구름조금
2019-01-07,-1.2,5.6,-6.9,0,0,1.1,67,3.6,7.9,구름조금/안개
2019-01-08,-1.5,3.9,-5,0,0,1.8,54,2.8,8.5,구름조금/안개
2019-01-09,-3.4,2.3,-8.6,0,0,0.9,42,4.1,6.9,구름조금
2019-01-10,-1.1,2,-3.2,0,0,0.6,58,7.8,0,구름많음
2019-01-11,2.8,8.4,-3,0,0,0.8,64,6.5,4.8,구름많음/안개
2019-01-12,4.5,8.8,1.8,0.5,0,1.1,70,7.5,5.3,구름많음/비/안개
2019-01-13,1.8,8.4,-2.8,0,0,0.7,67,0,8.4,맑음/안개
2019-01-14,1.7,6.1,-1.6,0,0,0.8,73,7.1,4.5,구름많음/안개
2019-01-15,-0.1,5.6,-4.9,0.3,0,1.9,73,6.6,3.4,구름많음/눈/비/안개
2019-01-16,-3.9,1.3,-8.5,0,0,1.4,57,3.5,7.8,구름조금
2019-01-17,0,4.5,-2.5,0,0,1.3,73,5.4,2.6,구름많음/눈/안개
2019-01-18,0.8,8,-4.8,0,0,0.8,71,3.2,7.8,구름조금/안개
2019-01-19,3.2,7.6,-1.9,0,0,0.6,67,7.9,4,구름많음/안개
2019-01-20,1.3,4.2,-2.8,0,0,2.5,51,2.1,8.8,구름조금/비/안개
2019-01-21,0.2,6.8,-6.2,0,0,1.6,63,1.8,7.4,맑음
2019-01-22,3.3,8.7,-1.6,0,0,1.3,66,1.8,8.5,맑음/안개
2019-01-23,2.8,9.5,-1.5,0,0,1.5,58,0.2,8.5,맑음/안개
2019-01-24,0.9,8.7,-5.6,0,0,0.9,43,0,9.3,맑음
2019-01-25,-0.9,5.3,-4.5,0,0,1.8,49,1.6,8,맑음
2019-01-26,-2.3,4,-6.4,0,0,1.7,42,0,9.4,맑음
2019-01-27,-0.4,7.3,-8.3,0,0,1.2,59,1.8,9.4,맑음
2019-01-28,2.3,6.6,-2.3,0.8,0,2.1,61,3,8.4,구름조금/비/안개
2019-01-29,0.1,8.3,-6.9,0,0,0.8,50,1.6,9.4,맑음
2019-01-30,2.7,9.1,-4,0,0,1.1,56,5.9,6.5,구름많음
2019-01-31,0.6,3.6,-4.7,0,0,1.9,55,7.1,2.8,구름많음/안개/진눈개비
2019-02-01,-1.3,3.9,-6.7,0,0,1.3,66,3,7.3,구름조금/안개
2019-02-02,1.7,8.8,-4.9,0,0,0.9,70,6.6,4.5,구름많음/비/안개
2019-02-03,5,8.7,3.2,27.1,0,1.3,93,9.1,0,흐림/비/안개
2019-02-04,1.3,6.5,-2.2,0,0,1.4,52,1.6,9.1,맑음/안개
2019-02-05,3.2,12,-4.3,0,0,0.8,50,3.9,8.3,구름조금/안개
2019-02-06,6.1,13.5,-1.2,0,0,1.3,69,7.4,6.2,구름많음/안개
2019-02-07,1.8,7.6,-5.1,0,0,2.5,56,6.2,7,구름많음/비/안개
2019-02-08,-3.3,2.1,-7.5,0,0,1.3,40,6.9,8.3,구름많음
2019-02-09,-2.7,1.7,-5.3,0,0,2.3,47,5.1,9.4,구름많음
2019-02-10,-2.4,2.2,-7,0,0,1.1,37,8.4,5.2,흐림
2019-02-11,-1.7,4.1,-6.1,0,0,1.4,48,0,9.7,맑음
2019-02-12,-0.3,5.4,-6.2,0,0,0.9,55,6,6,구름많음/안개
2019-02-13,-0.4,4.9,-3.9,0,0,1.9,44,3,9.5,구름조금/안개
2019-02-14,1.4,8.1,-3.3,0,0,0.9,41,6.2,8.6,구름많음
2019-02-15,1.7,4.7,-0.6,0,0,1.5,60,9.9,0.7,흐림/눈/안개
2019-02-16,-0.8,2.8,-3.5,0.1,0,2.2,65,5.5,7.6,구름많음/눈/안개
2019-02-17,-0.7,6.8,-6.5,0,0,1.3,56,0.8,10,맑음/안개
2019-02-18,1.9,6.8,-4.5,0.1,0,0.8,53,8.2,4.3,흐림/비
2019-02-19,2.2,4.1,-0.1,18.8,0,0.9,94,8.6,0,흐림/비/안개/이슬비
2019-02-20,1.9,6.1,-0.7,0,0,1.2,81,5.6,2.1,구름많음/눈/안개/진눈개비
2019-02-21,2.1,8.5,-3.3,0,0,0.9,72,3.5,9.4,구름조금/안개
2019-02-22,3.6,9.9,-1.5,0,0,1,66,6.8,7.8,구름많음/안개
2019-02-23,5.5,14.2,-1.9,0,0,1.1,59,3.4,9.1,구름조금/안개
2019-02-24,6.7,15.1,-0.8,0,0,1.2,63,1.8,10.3,맑음/안개
2019-02-25,5.7,12.9,0.9,0,0,1.3,58,1.9,9.7,맑음/안개
2019-02-26,5.3,12.7,-2.4,0,0,1,46,3.6,10.2,구름조금/안개
2019-02-27,6.6,9.8,4.2,0.2,0,0.8,66,9.5,0,흐림/비/안개
2019-02-28,6.7,13.4,0.7,0,0,1,67,5.8,6.9,구름많음/안개
2019-03-01,6.1,13.7,0,0,0,1.1,60,4,8.5,구름조금/안개
2019-03-02,7.4,16,-0.9,0,0,0.9,52,4.8,7.3,구름조금/안개
2019-03-03,9,15.5,1.4,0,0,0.9,51,6,5.6,구름많음/안개
2019-03-04,10,16.4,5.5,0,0,1.1,53,3.6,7.3,구름조금/안개
2019-03-05,8.7,14,2.8,0,0,1.1,62,8.1,4.3,흐림/안개
2019-03-06,9.7,15.4,5.8,0,0,1.5,58,5.4,6.3,구름많음/안개
2019-03-07,7.1,13.2,3,0,0,1.5,67,3.6,6,구름조금/안개
2019-03-08,7,15.5,-0.6,0,0,1,56,0.6,10.8,맑음/안개
2019-03-09,8.2,17.3,-1.4,0,0,0.9,41,6.6,10.1,구름많음
2019-03-10,7.9,11.3,3.7,0.1,0,1.2,60,7.5,0.1,구름많음/비/안개
2019-03-11,5.7,9.8,0.6,0.8,0,1.6,84,7.8,2.5,구름많음/비/안개/이슬비
2019-03-12,4.4,11.1,-0.3,0.5,0,2.3,78,5.6,2.3,구름많음/비/안개
2019-03-13,3.7,9.2,-1.8,0,0,2.6,44,1.1,10.7,맑음
2019-03-14,5.9,12.2,-2.6,0,0,1.7,49,3.8,8.2,구름조금
2019-03-15,6.9,12,2,1.1,0,2.5,71,6.8,6,구름많음/비/안개/진눈개비/천둥번개
2019-03-16,6,11.1,2.1,0,0,1.5,68,6.9,7.7,구름많음/안개
2019-03-17,7.3,14.1,2.6,0,0,1.5,56,2.8,10.4,구름조금/안개
2019-03-18,7.1,14.5,-0.6,0,0,1,46,7.9,5.9,구름많음
2019-03-19,10.6,19.6,1.5,0,0,1.3,55,1.1,10.7,맑음/안개
2019-03-20,10.9,16.4,6.3,17.7,0,1.2,80,9.2,0.1,흐림/비/안개
2019-03-21,8.5,13.7,2.7,2.6,0,2.4,84,9.1,1.4,흐림/비/안개/이슬비
2019-03-22,4.4,10.6,0.3,0,0,1.8,56,2.9,10.7,구름조금/안개
2019-03-23,3.2,9.7,-1.2,6.2,0,2.1,66,2.6,9,구름조금/비/우박
2019-03-24,4.5,11.2,-1.9,0,0,1.5,60,0.6,11.7,맑음
2019-03-25,7.2,14.4,0.2,0,0,1.7,62,3.2,8.4,구름조금/안개
2019-03-26,11.9,19.5,4.3,0,0,1.7,55,1.5,9.7,맑음/안개
2019-03-27,14.3,21,10.4,0,0,2.6,61,6,8.4,구름많음/안개
2019-03-28,12,18.1,7.3,0,0,1.3,56,7.5,7.9,구름많음/안개
2019-03-29,11.6,18.4,6.2,0,0,1.4,45,6.2,8.2,구름많음
2019-03-30,6.1,10.3,4.2,4.7,0,2.1,73,8.1,2.9,흐림/비/안개
2019-03-31,5.5,9.7,2.8,0,0,2.7,48,5.6,7.8,구름많음/비
2019-04-01,6.1,11.3,0.5,0,0,2.2,45,3.2,8.6,구름조금/비
2019-04-02,6.6,14.4,-1.1,0,0,1.8,40,0.6,12,맑음
2019-04-03,7.6,14.9,-0.2,0,0,1.4,43,0.2,12.1,맑음
2019-04-04,9.2,17.3,1.1,0,0,1.9,46,1.2,11.8,맑음
2019-04-05,11.6,18.6,7.7,0,0,2.6,54,3.1,6.9,구름조금/안개/황사
2019-04-06,12.5,20.6,2.8,0,0,1.1,40,3.6,6.6,구름조금
2019-04-07,14.2,20.7,9.3,0.8,0,1,39,7.6,5.3,구름많음/비
2019-04-08,12.6,19.4,4.9,0,0,1.9,34,2.9,11.1,구름조금
2019-04-09,10.4,16.5,5,31.3,0,4.4,55,9.5,2.7,흐림/비
2019-04-10,7.9,10.6,4.9,4.9,0,2.1,77,9.6,0,흐림/비/안개
2019-04-11,10.3,15.8,4.3,0,0,1.1,66,6.9,5.7,구름많음/안개
2019-04-12,12.1,19,5.1,0,0,1.6,53,2.2,11.7,구름조금/안개
2019-04-13,12.2,19.9,4.7,0,0,1.3,45,5.8,10.3,구름많음
2019-04-14,10.5,15.4,6.9,0.5,0,1.5,58,5.9,3.9,구름많음/비/안개
2019-04-15,11.6,20.5,2.9,0,0,1.4,50,0,12.3,맑음/안개
2019-04-16,14.6,23.8,4,0,0,1,39,4.8,10.3,구름조금
2019-04-17,17.2,25,10,0,0,1.5,42,2.1,11.7,구름조금
2019-04-18,15.7,21.6,9.6,0,0,1.9,66,5.9,7.9,구름많음/안개
