YMD,평균기온,최고기온,최저기온,강수량,신적설,평균풍속,평균습도,운량,일조시간,날씨
2019-01-01,1,5.5,-1.9,0,0,4,42,0.4,9.2,맑음
2019-01-02,1.2,6.4,-2.5,0,0,3.2,35,0,9.3,맑음
2019-01-03,3,8.4,-1.7,0,0,3.7,22,0,9.4,맑음
2019-01-04,5,8.2,1.4,0,0,3,22,5.4,4.8,구름많음
2019-01-05,5.5,10.7,2.2,0,0,3.1,32,4.6,6.4,구름조금/안개
2019-01-06,4.4,10.7,1.3,0,0,2.2,31,4.2,7.1,구름조금
2019-01-07,4.4,9.5,0.7,0,0,3.3,23,2.9,9.3,구름조금/안개
2019-01-08,3.2,8.2,-0.7,0,0,3.2,36,3.6,8.8,구름조금/안개
2019-01-09,2.3,7.6,-2.6,0,0,2.8,37,5.2,6.6,구름많음
2019-01-10,4.8,9,2.5,0,0,3.3,35,4.8,6.6,구름조금
2019-01-11,6.2,12.2,0.4,0,0,2.6,55,5,7.9,구름많음
2019-01-12,6.2,8.3,4.7,0.7,0,3.3,79,8.9,0.2,흐림/비/안개
2019-01-13,6.8,12.5,3.2,0,0,2.5,56,2.6,6.2,구름조금/안개
2019-01-14,7.3,13.5,2.4,0,0,1.5,44,3,8.7,구름조금/안개
2019-01-15,5.6,10.4,1.4,0,0,3.3,42,6,8.4,구름많음/안개
2019-01-16,0,5.6,-4.4,0,0,3.6,29,1.5,9.5,맑음
2019-01-17,2.4,7.6,-2,0,0,3.5,44,0.9,9.6,맑음
2019-01-18,5.5,10.8,1.1,0,0,3.2,30,2.1,9.7,구름조금
2019-01-19,7.5,12.2,4.2,0.5,0,2.6,49,8,4.6,흐림/비
2019-01-20,5.5,10.6,0.5,0.2,0,3.1,46,2,9.4,구름조금/비/안개
2019-01-21,2.8,7.9,-2.3,0,0,3.5,35,0,9.8,맑음
2019-01-22,5.5,10.6,0.9,0,0,2.6,44,0,9.7,맑음
2019-01-23,6.5,10.7,2.1,0,0,3.4,44,0,9.3,맑음/안개
2019-01-24,5.7,11.6,1.5,0,0,2.5,30,0,9.5,맑음
2019-01-25,4.2,7.9,-0.1,0,0,3.2,25,4.8,3.9,구름조금
2019-01-26,1,6.3,-2.6,0,0,4.3,25,0,9.8,맑음
2019-01-27,3.9,9,-0.7,0,0,3.6,29,0.2,10,맑음
2019-01-28,5.3,10.9,2,0,0,4.4,37,2.8,8.4,구름조금
2019-01-29,5.2,11.4,-0.6,0,0,1.8,46,0.8,9.7,맑음
2019-01-30,8.6,13.7,5.4,0,0,3.4,36,7.6,7.8,구름많음
2019-01-31,2.2,8.9,-1.5,11.3,0.2,3.7,73,7,0.8,구름많음/눈/비/진눈개비
2019-02-01,0.4,5.5,-4.2,0,0,4.4,52,1.9,10,맑음
2019-02-02,4.2,8.3,-1.3,0,0,3.1,55,2.5,9.9,구름조금/안개
2019-02-03,11.6,14.9,7.4,21.4,0,4.8,85,9.9,0,흐림/비/안개
2019-02-04,6.8,10.5,3.4,0,0,3.5,29,4.1,9.7,구름조금
2019-02-05,8,13,2.5,0,0,2.1,40,2.8,9.7,구름조금
2019-02-06,10.5,15.5,6.6,0,0,3,46,5.4,9.5,구름많음
2019-02-07,8.3,13.4,1.5,0,0,3.9,45,6.6,2.6,구름많음/비/안개
2019-02-08,3.2,9,-1.4,0,0,3.3,40,5.4,7.6,구름많음
2019-02-09,2.5,5.6,0.2,0,0,3.4,29,8,8.5,흐림
2019-02-10,4,9.7,-1.3,0,0,2.2,48,7,5.6,구름많음/비/진눈개비
2019-02-11,2.9,6.8,0,0,0,3.3,30,3.5,10.1,구름조금
2019-02-12,4,9.4,-0.5,0,0,3.4,33,3.2,9.3,구름조금
2019-02-13,4.6,9,1.2,0,0,3.1,32,2.2,9.8,구름조금/안개
2019-02-14,5.2,11.3,2,0,0,2.6,55,5.9,7.4,구름많음
2019-02-15,6.3,8.8,4,1.3,0,3,63,8.4,0.4,흐림/비/안개
2019-02-16,3.2,7.5,0.4,0,0,3.5,43,5.9,9.4,구름많음
2019-02-17,3.2,9.5,-1.7,0,0,3,31,1.8,10.5,맑음
2019-02-18,6.5,10.5,2.2,0,0,2.4,28,9.2,1.5,흐림/비
2019-02-19,7.1,10.4,5.4,28.8,0,2.6,90,7.6,0.4,구름많음/비
2019-02-20,5.6,10.3,2,0,0,3.2,54,2.6,10.1,구름조금/안개
2019-02-21,6.9,12.7,1.5,0,0,2,57,5.6,9.1,구름많음/안개
2019-02-22,9,14.1,5.3,0,0,1.7,60,7.9,5.4,구름많음/안개
2019-02-23,9.2,15.2,6.5,0,0,3.3,55,6,8.1,구름많음/안개
2019-02-24,9,13.8,4.6,0,0,2.5,54,1.6,10.5,맑음
2019-02-25,10.8,16.2,6.4,0,0,2.3,51,2.8,10.1,구름조금/안개
2019-02-26,10.9,16,6.5,0,0,1.8,58,4.2,9.9,구름조금/안개
2019-02-27,10.4,13,8.8,0,0,2.2,63,9.8,0.6,흐림/비
2019-02-28,10.6,16.5,7.5,0,0,2.3,63,6,6.2,구름많음/비/안개
2019-03-01,10.5,16.1,7,0,0,2.1,48,3.1,9.7,구름조금/안개
2019-03-02,10.7,15.5,7.1,0,0,2.4,55,5.1,5.6,구름많음/안개
2019-03-03,11.5,15.4,9.5,0,0,2.8,53,9.6,2.1,흐림
2019-03-04,11.4,16.9,8.8,0,0,2.5,53,4.8,8.9,구름조금/비
2019-03-05,12,16,7.9,0,0,2.8,55,6.1,6.8,구름많음/안개
2019-03-06,10.7,13.8,8.8,1.1,0,1.6,67,7.4,2.6,구름많음/비/안개
2019-03-07,9.7,14,7.3,0,0,2.4,58,4.2,6.7,구름조금/안개
2019-03-08,10.5,14.5,5.6,0,0,3.1,62,0.6,10.7,맑음/안개
2019-03-09,11.8,15.4,7.4,0,0,3.7,58,4.9,10.2,구름조금
2019-03-10,8.4,12.2,6.7,29.7,0,3.7,88,9.1,0,흐림/비
2019-03-11,9.8,14.5,5.8,0,0,4.6,60,3.4,10.1,구름조금/비
2019-03-12,9.4,14.8,4.5,0.1,0,4.6,53,2,10.4,구름조금/비/안개
2019-03-13,5.5,11.4,0.5,0,0,5,31,1.6,10.9,맑음
2019-03-14,8,12.1,2.7,0,0,4,32,1.5,11.2,맑음
2019-03-15,8.2,13.3,3.6,4,0,4.4,56,4,5.8,구름조금/비/천둥번개
2019-03-16,7.7,12.6,2.5,0,0,4.5,56,0,11.3,맑음
2019-03-17,9.9,15.4,5.4,0,0,3.1,48,0.2,11.4,맑음
2019-03-18,11.5,14.4,8.1,0,0,4.3,58,8.2,6.4,흐림
2019-03-19,13.9,19.3,9.2,0,0,2.9,49,1.8,10.7,맑음/비
2019-03-20,13.8,17.2,11.2,33.7,0,2.7,70,9,2,흐림/비/안개
2019-03-21,15.6,21,10.6,5.7,0,5,64,7.8,8.3,구름많음/비/안개
2019-03-22,9.4,14.4,5.4,0,0,3.5,48,3,9.9,구름조금/안개
2019-03-23,7,13.5,3.7,0,0,3.8,37,4.2,9.3,구름조금/비
2019-03-24,6.8,11.1,2,0,0,4.6,45,0,11.7,맑음
2019-03-25,8.7,11.8,4.5,0,0,4.3,42,6.5,4.7,구름많음/안개
2019-03-26,13.6,20.7,7.2,0,0,3,45,0.5,11.2,맑음/안개
2019-03-27,14.8,18.7,12.3,0,0,7.1,49,4,10.3,구름조금
2019-03-28,12.8,16.1,10.7,0,0,2.6,67,6.9,7.4,구름많음/안개
2019-03-29,13.9,17.1,10.5,0,0,2.9,73,6.9,9.2,구름많음/안개
2019-03-30,11.6,16.1,5.6,1.1,0,4.1,62,5.9,9.1,구름많음/비/안개
2019-03-31,7.7,13.5,4.4,0,0,4.8,38,2.6,11.4,구름조금
2019-04-01,7.7,14.1,2.1,0,0,2.7,31,2.4,10,구름조금
2019-04-02,9.4,15,4.5,0,0,3.7,39,0.2,11.8,맑음
2019-04-03,9.8,13.9,5.7,0,0,4.1,32,0,11.9,맑음
2019-04-04,12.1,17.4,6,0,0,4.3,33,2.6,11.5,구름조금
2019-04-05,13.9,18,10.1,0,0,5.8,48,2.1,11.1,구름조금/안개
2019-04-06,14.4,18.4,10.4,0,0,2.8,59,0,11.3,맑음
2019-04-07,12.4,15.9,9.9,13.2,0,2.1,76,7.4,0,구름많음/비/안개
2019-04-08,13.1,18.3,9.5,0,0,3.1,65,4,11,구름조금/안개
2019-04-09,11.2,15.8,8.4,8.3,0,4.5,59,7.4,6,구름많음/비
2019-04-10,9.7,12.9,7.9,6.9,0,3.9,74,9.4,0.3,흐림/비
2019-04-11,10.2,14.2,6.8,0,0,2.3,61,6.6,4.9,구름많음
2019-04-12,11.8,16.4,7.4,2.5,0,2.7,59,4.8,10.1,구름조금/비/안개
2019-04-13,13.5,17.2,9.2,0,0,3.2,51,5.2,9.6,구름많음
2019-04-14,13.3,15.6,10.6,0,0,4.4,51,6.4,2.7,구름많음/비
2019-04-15,12.7,17.9,7.9,0,0,3.4,40,0,12.1,맑음
2019-04-16,16,21.2,10.3,0,0,2.2,37,4.9,11,구름조금
2019-04-17,18,23.4,14.3,0,0,4.1,44,4.8,8.5,구름조금
2019-04-18,16.4,20,14.2,0,0,5.2,61,2.6,11.5,구름조금
2019-04-19,13.8,16.8,10.1,0,0,3.3,61,7.8,1.8,구름많음
2019-04-20,14.4,18.2,9.7,0,0,3.2,61,1.1,12,맑음
2019-04-21,17.2,22,13.4,0,0,2.3,65,6.8,7.1,구름많음/안개
2019-04-22,17.1,22.2,14.1,0,0,3,63,3.6,11.8,구름조금/안개
2019-04-23,16.2,19.5,14.5,7.3,0,2.1,73,9.4,0.1,흐림/비
2019-04-24,16.8,20.5,15.1,16.1,0,2.1,95,9.5,1.8,흐림/비/안개
2019-04-25,14.8,16.3,13,0.1,0,2.8,73,9.9,0,흐림/비/안개
2019-04-26,11.3,13.1,8.5,5.3,0,2.4,87,9.5,0,흐림/비/안개
2019-04-27,12.1,16.3,8.1,0,0,2.8,58,4.8,10.7,구름조금
2019-04-28,13.2,16.9,10.7,0,0,1.7,58,7.5,4.9,구름많음
2019-04-29,13,13.8,12.1,25.3,0,2.7,88,9.9,0,흐림/비
2019-04-30,15.6,18.9,13.1,0,0,2,84,8.2,5.2,흐림/비/안개
2019-05-01,17,20.8,14.3,0,0,3,72,7,5.5,구름많음/안개
2019-05-02,17.6,21.7,14.8,0,0,3.9,55,0,12.4,맑음/안개
2019-05-03,19.1,23.1,15.3,0,0,2.5,42,0,12.5,맑음
2019-05-04,19.1,23.6,15.1,0,0,1.7,53,3.9,12.1,구름조금/안개
2019-05-05,19.6,23.9,15.4,0,0,3.8,52,5.5,11.7,구름많음/안개
2019-05-06,16.6,21.3,12.8,0,0,3.4,55,4.2,10.7,구름조금/비
2019-05-07,15.2,20,11,0,0,3.9,49,0.9,12.5,맑음
2019-05-08,17.3,21.6,12.9,0,0,4.2,36,6,9.8,구름많음
2019-05-09,18.6,22.9,16,0,0,3.6,37,5.1,10.4,구름많음
2019-05-10,19,23.8,16,0,0,2.7,39,4.8,11.6,구름조금
2019-05-11,19.5,24.4,14.3,0,0,2.1,42,1.9,12.5,맑음
2019-05-12,20.2,25.8,15.9,0,0,2.6,44,2.4,12.4,구름조금
2019-05-13,17.8,20.7,14.8,0,0,2.8,67,6.8,8.9,구름많음/안개
2019-05-14,20.5,24.7,17.2,0,0,3.1,73,5,11.6,구름많음/비/안개
2019-05-15,21.6,25.7,18.7,0,0,1.6,60,5.8,11.9,구름많음
2019-05-16,21.7,26.7,18,0,0,1.7,62,5,11.1,구름많음/안개
2019-05-17,21.1,23.7,17.8,0,0,2.4,66,7.5,9.1,구름많음/비
2019-05-18,17.7,20.4,16.5,37.1,0,3.7,87,9.8,0,흐림/비
2019-05-19,19.4,21.9,18,8.4,0,2.8,83,10,0,흐림/비
2019-05-20,19,23.3,14.1,1.1,0,4.1,67,6.2,5.8,구름많음/비/안개
2019-05-21,17.9,22.3,12.2,0,0,3.9,46,0.2,12.7,맑음
2019-05-22,19.7,24.6,15.8,0,0,4.1,51,0,12.7,맑음/안개
2019-05-23,19.3,26.1,16.2,0,0,3.4,71,0.8,12.6,맑음/안개
2019-05-24,20.9,25.4,16.2,0,0,3.2,69,0,12.6,맑음/안개
2019-05-25,23.4,30.1,19.2,0,0,3.3,54,7.2,11.1,구름많음
2019-05-26,22,25.7,18.5,0,0,3.5,65,7,9.9,구름많음
2019-05-27,19.3,20.9,18.4,28.4,0,6.4,94,9.9,0,흐림/비/안개
2019-05-28,18,22.5,15.1,0,0,2.9,59,7.1,8.5,구름많음
2019-05-29,20.6,25.4,14,0,0,3.7,46,0.8,12.8,맑음
2019-05-30,22.5,26.9,17.8,0,0,3.6,34,6.5,9.5,구름많음
2019-05-31,18.4,22.9,14.9,1.1,0,4.1,60,5.8,7.3,구름많음/비
2019-06-01,19.8,24.8,16.2,0,0,2.9,61,8.5,9.4,흐림
2019-06-02,20.9,24.6,17.4,0,0,2.5,54,5.9,10.3,구름많음
2019-06-03,21.3,25.6,17.4,0,0,3,55,2,11.8,구름조금
2019-06-04,23.4,26.5,19.2,0,0,2.4,63,0,12.6,맑음/안개
2019-06-05,23.9,29.7,20.4,0,0,2.4,59,1.6,12.8,맑음/안개
2019-06-06,22.1,27,17.8,28,0,2.4,76,7.1,8.9,구름많음/비/안개
2019-06-07,18.7,20,16.8,45.7,0,2.4,91,10,0,흐림/비/안개/천둥번개
2019-06-08,19.1,22.2,17,0,0,2.3,76,7.1,6.9,구름많음
2019-06-09,18.5,22.1,16.4,0,0,2.9,71,5.9,8.5,구름많음/안개
2019-06-10,18.8,22.7,15.8,0,0,3,67,6.2,9,구름많음
2019-06-11,18.5,22.1,16.1,0,0,2.5,70,7.5,6.7,구름많음/비
2019-06-12,19.1,22.3,16.9,0,0,2.4,71,4.8,9.9,구름조금
2019-06-13,19.6,23,15.5,0,0,2.3,74,3.5,12.1,구름조금
2019-06-14,19.6,23.7,17.2,9.2,0,2.1,83,9.6,0,흐림/비
2019-06-15,20.6,25.3,17.2,1,0,2.6,74,7.5,8.4,구름많음/비
2019-06-16,20.1,23.4,17.7,0,0,2.4,76,5.9,8.2,구름많음/안개
2019-06-17,20.8,24.6,17.6,0,0,3.4,75,7,10.5,구름많음
2019-06-18,21.7,24.8,19.5,0.2,0,3.7,76,8.6,0.7,흐림/비/안개
2019-06-19,23.4,27.3,19.3,0,0,2.5,71,4.4,10.7,구름조금/비/안개
2019-06-20,24.3,27.5,21.6,0,0,3.5,67,3.4,10.1,구름조금/안개
2019-06-21,23.3,26.8,21,0,0,3.3,72,5.2,12.6,구름많음/안개
2019-06-22,21.3,25,19.1,0,0,3.1,67,6.1,10.6,구름많음/비
2019-06-23,20.9,24.8,18.4,0,0,2.2,68,5,10.9,구름많음
2019-06-24,20.9,24.5,18,0,0,2.5,71,2.1,12.2,구름조금
2019-06-25,21.9,26.8,18.5,0,0,2.3,71,4.1,11.7,구름조금
2019-06-26,20.9,21.8,19.6,112.5,0,2.2,87,9.4,0,흐림/비
2019-06-27,22.4,24.4,20.7,36.5,0,2.6,96,9.4,1.1,흐림/비/안개
2019-06-28,22.2,25.5,20.8,0,0,2,88,8.9,3.5,흐림/안개
2019-06-29,21.4,23.7,20,91,0,2.7,95,9.8,0,흐림/비/안개
2019-06-30,23.3,28.1,21.3,0.2,0,2.9,87,7.8,4.8,구름많음/비/안개
2019-07-01,23.1,27.8,21.3,0,0,2.7,89,8.8,2.2,흐림/비/안개
2019-07-02,23.4,26.4,20.9,0,0,3.1,82,7.4,7.6,구름많음/안개
2019-07-03,21.9,24.1,20.4,0,0,1.8,91,7.9,3.2,구름많음/안개
2019-07-04,24.2,28.3,19.8,0,0,2.1,76,4.8,12.1,구름조금/안개
2019-07-05,23.8,26.9,20.6,0,0,1.7,70,6,10.6,구름많음/안개
2019-07-06,24.3,28.9,20.7,0,0,3.1,66,2,12.9,구름조금
2019-07-07,23,26.5,20.8,0,0,3.4,66,6.6,10.6,구름많음
2019-07-08,22.2,26.9,20.5,0,0,2.9,72,8.6,4.2,흐림/비
2019-07-09,22.2,26.1,20.2,0,0,3.1,72,8.9,2.1,흐림
2019-07-10,21.7,22.7,20.7,35.1,0,3.7,88,9.9,0,흐림/비
2019-07-11,23.8,27.2,21.6,4.5,0,3.9,85,6.6,6.6,구름많음/비
