YMD,평균기온,최고기온,최저기온,강수량,신적설,평균풍속,평균습도,운량,일조시간,날씨
2019-01-01,0,4.1,-2.5,0,0,3.1,45,2.4,7.7,구름조금
2019-01-02,0.5,5.4,-3,0,0,2.8,33,0.1,9.1,맑음
2019-01-03,1.4,7.7,-2.7,0,0,2.7,24,0,9.1,맑음
2019-01-04,4.3,10.9,-1.5,0,0,2,22,4,6.8,구름조금
2019-01-05,4.3,9.4,1,0,0,2.8,34,3.4,6.9,구름조금/안개
2019-01-06,3.1,9.5,-0.6,0,0,2.5,28,3.1,7.4,구름조금
2019-01-07,2.9,7.9,-1.1,0,0,3,27,4.1,9,구름조금/안개
2019-01-08,2.5,7,-2,0,0,2.9,31,3.2,7.9,구름조금/안개
2019-01-09,0.3,6,-4.3,0,0,2.3,40,5.5,7.6,구름많음
2019-01-10,3.6,8.3,-0.7,0,0,2.9,38,3.8,5.4,구름조금
2019-01-11,4.7,10.9,-0.3,0,0,2.4,61,5.4,6.7,구름많음
2019-01-12,4.8,6,4.2,7.1,0,2.7,96,9.8,0,흐림/비/안개
2019-01-13,5.2,10.1,2,0,0,2.4,65,2.1,5.6,구름조금/안개
2019-01-14,6,12.2,1.6,0,0,2.1,50,2.6,8.4,구름조금/안개
2019-01-15,4.5,9.7,-0.7,0,0,2.6,47,6.4,7.1,구름많음/안개
2019-01-16,-0.8,4.2,-5.3,0,0,3.2,31,1.8,9.1,맑음
2019-01-17,2.4,6.4,-1.3,0,0,3.6,45,1.9,8.6,맑음
2019-01-18,4.5,10.5,-1.1,0,0,2.3,34,1.5,9.1,맑음
2019-01-19,7.3,13.9,1.3,0.1,0,1.8,44,7.4,5.6,구름많음/비/안개
2019-01-20,4.3,9,-1.3,0,0,2.9,41,2,9.1,구름조금/비/안개
2019-01-21,2.7,9.1,-3.2,0,0,2.5,33,0,9.4,맑음
2019-01-22,5.1,11.9,-0.7,0,0,1.8,41,0,9.3,맑음
2019-01-23,6.6,11.4,0.3,0,0,2.2,29,0,9.2,맑음
2019-01-24,4.6,10.6,0.2,0,0,2.2,34,0,9.2,맑음
2019-01-25,2.9,7.1,-1.1,0,0,2.4,26,5.1,1.6,구름많음
2019-01-26,0,4.1,-3.4,0,0,3,25,0,9.5,맑음
2019-01-27,2.8,10.8,-3.5,0,0,2.1,25,0.4,9.5,맑음
2019-01-28,3.6,9.8,-1,0,0,2.5,33,1.8,8.1,맑음
2019-01-29,4.1,10.1,-1.7,0,0,2.2,47,0.4,9.3,맑음
