YMD,지점,평균기온,최저기온,최고기온,강수량,미세먼지
2019-01-01,전국,-2.1,-5.8,2.1,0.1,25.53571429
2019-01-02,전국,-2.5,-7,3.2,0,23.33333333
2019-01-03,전국,-2.1,-7.7,5,0,25.07407407
2019-01-04,전국,-0.7,-7.3,5.3,0,38.59259259
2019-01-05,전국,0.2,-4.6,5.3,0,47.5
2019-01-06,전국,-1.3,-6.1,5.7,0,30.82142857
2019-01-07,전국,-0.5,-6.3,5.5,0,38.71428571
2019-01-08,전국,-0.7,-4.8,4.2,0,36.5
2019-01-09,전국,-2.9,-8,2.9,0,33.26923077
2019-01-10,전국,0.5,-3.4,5.1,0,32.35714286
2019-01-11,전국,2.1,-3.4,8.1,0,54.07142857
2019-01-12,전국,3,-0.3,7.5,2.4,55.25925926
2019-01-13,전국,1.3,-3.2,8.2,0,70.35714286
2019-01-14,전국,1,-4.1,7.5,0,99.07142857
2019-01-15,전국,0.9,-3.9,6.1,0.1,88.25
2019-01-16,전국,-3.2,-7.9,1.7,0,34.78571429
2019-01-17,전국,0.4,-4,5.4,0,32.71428571
2019-01-18,전국,0.8,-5.1,8.1,0,43.96296296
2019-01-19,전국,2.9,-2.7,9.3,0.2,57.03571429
2019-01-20,전국,1.6,-2.8,5.5,0.1,40.03571429
2019-01-21,전국,0.5,-5.5,6.2,0,29.67857143
2019-01-22,전국,2.6,-3.2,9,0,51.71428571
2019-01-23,전국,3.1,-2.2,9.6,0,58.25925926
2019-01-24,전국,0.7,-5.2,8.2,0,29.32142857
2019-01-25,전국,-0.4,-5.1,5.5,0,33.18518519
2019-01-26,전국,-1.8,-6.2,3.7,0,33.5
2019-01-27,전국,-0.2,-7.8,7.1,0,27.42857143
2019-01-28,전국,2.6,-2.6,7.2,0.2,58.35714286
2019-01-29,전국,0,-6.5,8.1,0,56.78571429
2019-01-30,전국,3.5,-3.1,10.1,0,47.28571429
2019-01-31,전국,0.3,-3.8,4.7,4.9,45.96153846
2019-02-01,전국,-1.3,-6.7,4.1,0,31.14814815
2019-02-02,전국,2.1,-4.8,8.5,0,46.39285714
2019-02-03,전국,5.6,2.6,9.8,12.8,33.73076923
2019-02-04,전국,2.5,-1.5,6.8,0,67.64285714
2019-02-05,전국,2.9,-4.1,11,0,84.53571429
2019-02-06,전국,5.6,-1.2,12.9,0,70.42857143
2019-02-07,전국,2.1,-3.9,7.4,0.5,43.11111111
2019-02-08,전국,-2,-5.9,3.2,0,22.78571429
2019-02-09,전국,-1.7,-4.2,1.7,0,26.60714286
2019-02-10,전국,-1.4,-6.3,3.2,0,28.78571429
2019-02-11,전국,-0.8,-4.7,3.9,0,27.64285714
2019-02-12,전국,0.1,-6,6,0,45.92857143
2019-02-13,전국,0.3,-4.1,5.3,0,43.03571429
2019-02-14,전국,0.6,-3.7,6.5,0.1,32.42307692
2019-02-15,전국,2,-1.5,6,0.4,33.75
2019-02-16,전국,-0.3,-3.5,3.3,0.1,43.5
2019-02-17,전국,-0.2,-5.7,6.3,0,31.96296296
2019-02-18,전국,2.2,-4.4,7.5,0.1,28.35714286
2019-02-19,전국,2.9,0.6,5.7,16.3,23.4
2019-02-20,전국,2.8,-0.5,7,0,42
2019-02-21,전국,2.7,-2.7,9.4,0,55.66666667
2019-02-22,전국,3.9,-1.5,11.1,0,51.53571429
2019-02-23,전국,5,-1.3,13.2,0,47.2962963
2019-02-24,전국,6.1,-1.5,14.3,0,44.07142857
2019-02-25,전국,6,0.8,12.8,0,50.67857143
